,dialogue
1030,"(he throws Vince his car keys) I drive real fuckin' fast, so keep up. If I get my car back any different than I gave it, Monster Joe's gonna be disposing of two bodies."
1031,We cool?
1032,Like it never happened.
1033,"Boys, this is Raquel. Someday, all this will be hers."
1034,"Hi. You know, if they ever do ""I SPY: THE MOTION PICTURE,"" you guys, I'd be great. What's with the outfits. You guys going to a volleyball game?"
1035,I'm takin' m'lady out to breakfast. Maybe I can drop you two off. Where do you live?
1036,Redondo Beach.
1037,Inglewood.
1038,"Say goodbye, Raquel"
1039,"Goodbye, Raquel."
1040,"I'll see you two around, and stay outta trouble, you crazy kids."
1041,Mr. Wolf.
1042,I was a pleasure watchin' you work.
1043,Call me Winston.
1044,"You hear that, young lady? Respect. You could lean a lot from those two fine specimens. Respect for one's elders shows character."
1045,I have character.
1046,"Oh you're so funny, oh you're so funny."
1047,Wanna share a cab?
1048,You know I could go for some breakfast. What to have breakfast with me?
1049,Sure.
1050,Thanks a bunch.
1051,"(to Jules, who's nursing his coffee) Want a sausage?"
1052,"Naw, I don't eat pork."
1053,Are you Jewish?
1054,"I ain't Jewish man, I just don't dig on swine."
1055,Why not?
1056,They're filthy animals. I don't eat filthy animals.
1057,Sausages taste good. Pork chops taste good.
1058,"A sewer rat may taste like pumpkin pie. I'll never know 'cause even if it did, I wouldn't eat the filthy motherfucker. Pigs sleep and root in shit. That's a filthy animal. I don't wanna eat nothin' that ain't got enough sense to disregard its own feces."
1059,How about dogs? Dogs eat their own feces.
1060,I don't eat dog either.
1061,"Yes, but do you consider a dog to be a filthy animal?"
1062,"I wouldn't go so far as to call a dog filthy, but they're definitely dirty. But a dog's got personality. And	personality goes a long way."
1063,"So by that rationale, if a pig had a better personality, he's cease to be a filthy animal?"
1064,We'd have to be talkin' 'bout one motherfuckin' charmin' pig. It'd have to be the Cary Grant of pigs.
1065,Good for you. Lighten up a little. You been sittin' there all quiet.
1066,I just been sittin' here thinkin'.
1067,(mouthful of food) About what?
1068,The miracle we witnessed.
1069,The miracle you witnessed. I witnessed a freak occurrence.
1070,Do you know that a miracle is?
1071,An act of God.
1072,What's an act of God?
1073,"I guess it's when God makes the impossible possible. And I'm sorry Jules, but I don't think what happened this morning qualifies."
1074,"Don't you see, Vince, that shit don't matter. You're judging this thing the wrong way. It's not about what. It could be God stopped the bullets, he changed Coke into Pepsi, he found my fuckin' car keys. You don't judge shit like this based on merit. Whether or not what we experienced was an according-to-Hoyle miracle is insignificant. What is significant is I felt God's touch, God got involved."
1075,But why?
1076,That's what's fuckin' wit' me! I don't know why. But I can't go back to sleep.
1077,"So you're serious, you're really gonna quit?"
1078,"The life, most definitely."
1079,Garcon! Coffee!
1080,"So if you're quitting the life, what'll you do?"
1081,"That's what I've been sitting here contemplating. First, I'm gonna deliver this case to Marsellus. Then, basically, I'm gonna walk the earth."
1082,"What do you mean, walk the earth?"
1083,"You know, like Caine in ""KUNG FU."" Just walk from town to town, meet people, get in adventures."
1084,How long do you intend to walk the earth?
1085,Until God puts me where he want me to be.
1086,What if he never does?
1087,"If it takes forever, I'll wait forever."
1088,So you decided to be a bum?
1089,"I'll just be Jules, Vincent – no more, no less."
1090,"No Jules, you're gonna be like those pieces of shit out there who beg for change. They walk around like a bunch of fuckin' zombies, they sleep in garbage bins, they eat what I throw away, and dogs piss on 'em. They got a word for 'em, they're called bums. And without a job, residence, or legal tender, that's what you're gonna be – a fuckin' bum!"
1091,"Look my friend, this is just where me and you differ –"
1092,– what happened was peculiar – no doubt about it – but it wasn't water into wine.
1093,"All shapes and sizes, Vince."
1094,Stop fuckin' talkin' like that!
1095,"If you find my answers frightening, Vincent, you should cease askin' scary questions."
1096,I gotta take a shit. To be continued.
1097,"Everybody be cool, this is a robbery!"
1098,Any of you fuckin' pricks move and I'll execute every one of you motherfuckers! Got that?!
1099,"Customers stay seated, waitresses on the floor."
1100,"Now mean fuckin' now! Do it or die, do it or fucking die!"
1101,"You Mexicans in the kitchen, get out here! Asta luego!"
1102,"On the floor or I'll cook you ass, comprende?"
1103,"I'm the manager here, there's no problem, no problem at all –"
1104,What? You said you're gonna give me a problem?
1105,"No, I'm not. I'm not gonna give you any problem!"
1106,"I don't know, Honey Bunny. He looks like the hero type to me!"
1107,Don't take any chances. Execute him!
1108,Please don't! I'm not a hero. I'm just a coffee shop manager. Take anything you want.
1109,Tell everyone to cooperate and it'll be all over.
1110,Everybody just be calm and cooperate with them and this will be all over soon!
1111,"Well done, now git your fuckin' ass on the ground."
1112,"Okay people, I'm going to go 'round and collect your wallets. Don't talk, just toss 'em in the bag. We clear?"
1113,In the bag.
1114,What's in that?
1115,My boss' dirty laundry.
1116,You boss makes you do his laundry?
1117,When he wants it clean.
1118,Sounds like a shit job.
1119,"Funny, I've been thinkin' the same thing."
1120,Open it up.
1121,'Fraid I can't do that.
1122,I didn't hear you.
1123,"Yes, you did."
1124,What's goin' on?
1125,Looks like we got a vigilante in our midst.
1126,Shoot 'em in the face!
1127,"I don't mean to shatter your ego, but this ain't the first time I've had gun pointed at me."
1128,"You don't open up that case, it's gonna be the last."
1129,"Quit causing problems, you'll get us all killed! Give 'em what you got and get 'em out of here."
1130,"Keep your fuckin' mouth closed, fat man, this ain't any of your goddamn business!"
1131,"I'm countin' to three, and if your hand ain't off that case, I'm gonna unload right in your fuckin' face. Clear? One..."
1132,... two... three.
1133,You win.
1134,"It's all yours, Ringo."
1135,Open it.
1136,What is it? What is it?
1137,"Goddammit, what is it?"
1138,"Let him go! Let him go! I'll blow your fuckin' head off! I'll kill ya! I'll kill ya! You're gonna die, you're gonna fuckin' die bad!"
1139,"Tell that bitch to be cool! Say, bitch be cool! Say, bitch be cool!"
1140,"Chill out, honey!"
1141,Let him go!
1142,Tell her it's gonna be okay.
1143,I'm gonna be okay.
1144,Promise her.
1145,I promise.
1146,Tell her to chill.
1147,Just chill out.
1148,What's her name?
1149,Yolanda.
1150,"C'mon Yolanda, what's Fonzie like?"
1151,"(through tears, unsure) He's cool?"
1152,"Correct-amundo! And that's what we're gonna be, we're gonna be cool."
1153,"Now Ringo, I'm gonna count to three and I want you to let go your gun and lay your palms flat on the table. But when you do it, do it cool. Ready?"
1154,One... two... three.
1155,"Okay, now let him go!"
1156,"Yolanda, I thought you were gonna be cool. When you yell at me, it makes me nervous. When I get nervous, I get scared. And when motherfuckers get scared, that's when motherfuckers get accidentally shot."
1157,"(more conversational) Just know: you hurt him, you die."
1158,That seems to be the situation. Now I don't want that and you don't want that and Ringo here don't want that. So let's see what we can do.
1159,"Now this is the situation. Normally both of your asses would be dead as fuckin' fried chicken. But you	appened to pull this shit while I'm in a transitional period. I don't wanna kill ya, I want to help ya. But I'm afraid I can't give you the case. It don't belong to me. Besides, I went through too much shit this morning on account of this case to just hand it over to your ass."
1160,"It's cool, Vincent! It's cool! Don't do a goddamn thing. Yolanda, it's cool baby, nothin's changed. We're still just talkin'."
1161,(to Pumpkin) Tell her we're still cool.
1162,"It's cool, Honey Bunny, we're still cool."
1163,"What the hell's goin' on, Jules?"
1164,Nothin' I can't handle. I want you to just hang back and don't do shit unless it's absolutely necessary.
1165,Check.
1166,"Yolanda, how we doin, baby?"
1167,I gotta go pee! I want to go home.
1168,"Just hang in there, baby, you're doing' great,Ringo's proud of you and so am I. It's almost over."
1169,Now I want you to go in that bag and find my wallet.
1170,Which one is it?
1171,It's the one that says Bad Motherfucker on it.
1172,That's my bad motherfucker. Now open it up and take out the cash. How much is there?
1173,About fifteen hundred dollars.
1174,"Put it in your pocket, it's yours. Now with the rest of them wallets and the register, that makes this a pretty successful little score."
1175,"Jules, if you give this nimrod fifteen hundred buck, I'm gonna shoot 'em on general principle."
1176,"You ain't gonna do a goddamn thing, now hang back and shut the fuck up. Besides, I ain't givin' it to him. I'm buyin' somethin' for my money. Wanna know what I'm buyin' Ringo?"
1177,What?
1178,Your life. I'm givin' you that money so I don't hafta kill your ass. You read the Bible?
1179,Not regularly.
1180,"There's a passage I got memorized. Ezekiel 25:17. ""The path of the righteous man is beset on all sides by the inequities of the selfish and the tyranny of evil men."
1181,"Blessed is he who, in the name of charity and good will, shepherds the weak through the valley of the darkness. For he is truly his brother's keeper and the finder of lost children. And I will strike down upon thee with great vengeance and furious anger those who attempt to poison and destroy my brothers. And you will know I am the Lord when I lay my vengeance upon you.""I been sayin' that shit for years."
1182,"And if you ever heard it, it meant your ass. I never really questioned what it meant. I thought it was just a cold- blooded thing to say to a motherfucker 'fore you popped a cap in his ass. But I saw some shit this mornin' made me think twice. Now I'm thinkin', it could mean you're the evil man. And I'm the righteous man. And Mr. .45 here, he's the shepherd protecting my righteous ass in the valley of darkness. Or is could by you're the righteous man and I'm the shepherd and it's the world that's evil and selfish."
1183,I'd like that. But that shit ain't the truth. The truth is you're the weak. And I'm the tyranny of evil men. But I'm tryin'. I'm tryin' real hard to be a shepherd.
1184,(to himself) It's cold.
1185,I think we oughta leave now.
1186,That's probably a good idea.
